Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Union Colony West Metropolitan District No. 2,www.unioncolonywestmds.com,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,68058,Metropolitan Districts,Weld
Union Colony West Metropolitan District No. 3,www.unioncolonywestmds.com,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,68059,Metropolitan Districts,Weld
Union Colony West Metropolitan District No. 4,www.unioncolonywestmds.com,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,68060,Metropolitan Districts,Weld
Union Colony West Metropolitan District No. 5,www.unioncolonywestmds.com,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,68061,Metropolitan Districts,Weld
Union Colony West Metropolitan District No. 6,www.unioncolonywestmds.com,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,68062,Metropolitan Districts,Weld
Union Colony West Metropolitan District No. 7,www.unioncolonywestmds.com,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,68063,Metropolitan Districts,Weld
Union Colony West Metropolitan District No. 8,www.unioncolonywestmds.com,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,68064,Metropolitan Districts,Weld
United Fire Dispatch Authority,,300 Perry St,,Castle Rock,CO,80104,64256,Intergovernmental Authorities (separate legal entity),"Arapahoe, Douglas"
United Water & Sanitation District,cospecialdistricts.com/united-water-and-sanitation-district,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,65107,Water & Sanitation Districts,Elbert
University Hills General Improvement District,,PO Box 791,c/o City of Boulder,Boulder,CO,80302,07041,General Improvement Districts (Municipal),Boulder
University Preparatory Schools,uprepschool.org/boardproceedings/,3230 East 38th Avenue,,Denver,CO,80205-3726,67853,Charter Schools,Denver
University Schools,universityschools.com/domain/36,6525 18th Street,,Greeley,CO,80634-8674,67799,Charter Schools,Weld
University of Colorado Hospital Authority,,12401 E 17th Ave,Mail Stop F415,Aurora,CO,80045-0510,16020,University Of Colorado Hospital Authority,Denver
Uplands Metropolitan District No. 1,uplandsmetrodistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400",McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,67714,Metropolitan Districts,Adams
Uplands Metropolitan District No. 2,uplandsmetrodistricts.specialdistrict.org/,"450 East 17th Avenue, Suite 400",McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,67715,Metropolitan Districts,Adams
Upper Arkansas Conservation District,,5575 Cleora Rd,,Salida,CO,81201,64140,Conservation Districts (Soil),"Lake, Park, Saguache, Chaffee, Fremont"
Upper Arkansas Water Conservancy District,www.uawcd.com,PO Box 1090,,Salida,CO,81201,64141,Water Conservancy Districts,"Custer, El Paso, Saguache, Chaffee, Fremont"
Upper Big Sandy Groundwater Management District,,520 Colorado Ave Ste C,,Calhan,CO,80808-8211,64163,Ground Water Management Districts,"El Paso, Elbert, Lincoln"
Upper Black Squirrel Creek Groundwater Management District,upperblacksquirrelcreekwater.com,"520 Colorado Avenue, Suite C",,Calhan,CO,80808-8203,21048,Ground Water Management Districts,El Paso
Upper Blue Sanitation District,www.ubsd.org/,PO Box 1216,,Breckenridge,CO,80424-1216,59003,Sanitation Districts,Summit
Upper Cherry Creek Water Association,,"188 Inverness Drive West, Suite 150","c/o Mulhern MRE, Inc.",Englewood,CO,80112,66771,Intergovernmental Authorities (separate legal entity),"Adams, Arapahoe, Douglas"
Upper Cottonwood Creek Metropolitan District,www.oldranchmetrodistrict.org,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65083,Metropolitan Districts,El Paso
Upper Cottonwood Creek Metropolitan District No. 2,www.oldranchmetrodistrict.org,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65551,Metropolitan Districts,El Paso
Upper Cottonwood Creek Metropolitan District No. 3,www.oldranchmetrodistrict.org,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65552,Metropolitan Districts,El Paso
Upper Cottonwood Creek Metropolitan District No. 4,www.oldranchmetrodistrict.org,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP,Colorado Springs,CO, 80903,65553,Metropolitan Districts,El Paso
Upper Cottonwood Creek Metropolitan District No. 5,www.oldranchmetrodistrict.org,"121 S. Tejon St., Suite 1100 80903",c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65554,Metropolitan Districts,El Paso
Upper Crow Creek Ground Water Management District,,66732 County Road 87,,Grover,CO,80729,67356,Ground Water Management Districts,Weld
Upper Eagle Regional Water Authority,,846 Forest Road,,Vail,CO,81657-5075,19042,Water Authorities,Eagle
Upper Grand Valley Pest Control District,,PO Box 20000,Department 5014,Grand Junction,CO,81502,39042,County Pest Control Districts,Mesa
Upper Gunnison River Water Conservancy District,www.ugrwcd.org,"210 West Spencer Avenue, Ste B",,Gunnison,CO,81230,64143,Water Conservancy Districts,"Saguache, Gunnison, Hinsdale"
Upper Huerfano Conservation District,WWW.UHCD.NET,"711 Walsen Avenue, Ste A",,Walsenburg,CO,81089,64172,Conservation Districts (Soil),"Huerfano, Las Animas"
Upper Huerfano Fire Protection District,,P.O. Box 147,,Gardner,CO,81040,28016,Fire Protection Districts,Huerfano
Upper Pine River Fire Protection District,www.upperpinefpd.org,515 Sower Dr,,Bayfield,CO,81122,34027,Fire Protection Districts,"La Plata, Archuleta"
Upper San Juan Health Service District,pagosaspringsmedicalcenter.org/about/board-of-directors/,95 S Pagosa Boulevard,,Pagosa Springs,CO,81147,64144,Health Service Districts (Hospital),"Archuleta, Hinsdale, Mineral"
Upper San Juan Library District,,PO Box 849,,Pagosa Springs,CO,81147-0849,04009,Library Districts,Archuleta
Upper South Platte Water Conservancy,,PO Box 612,,Fairplay,CO,80440-0612,64145,Water Conservancy Districts,"Park, Clear Creek, Douglas, Teller, Jefferson"
Upper Thompson Sanitation District,utsd.colorado.gov,PO Box 568,,Estes Park,CO,80517,35045,Sanitation Districts,Larimer
Upper Yampa Water Conservancy District,upperyampawater.com,PO Box 775529,,Steamboat Springs,CO,80477-5529,64146,Water Conservancy Districts,"Moffat, Routt"
Urban Drainage & Flood Control District,www.udfcd.org,"2480 West 26th Ave., Suite 156-B",,Denver,CO,80211,64147,Urban Drainage & Flood Control District,"Broomfield, Denver, Boulder, Adams, Arapahoe, Douglas, Jefferson"
"Urban Drainage & Flood, South Platte Levy",,"2480 West 26th Avenue, Suite 156-B",,Denver,CO,80211,64174,Urban Drainage & Flood Control District,"Denver, Adams, Arapahoe, Douglas, Jefferson"
Urban Renewal Authority of Dacono,,"8390 E Crescent Parkway, Ste 300","c/o CliftonLarsonAllen, LLP",Greenwood Village,CO,80111,66594,Urban Renewal Authorities,Weld
Ute Pass Board of Cooperative Educational Services,www.upboces.org/,PO Box 99,,Woodland,CO,80863,66281,Boards of Cooperative (Educational) Services (BOCES),Teller
Ute Pass Regional Health Service District,www.uprad.org,PO Box 149,,Woodland Park,CO,80863,65329,Ambulance Districts,"Park, Douglas, Teller"
Ute Pass Water District,utepasswater.org,20 Ute Pass Road,,Durango,CO,81301,67711,Water Districts,La Plata
Ute Water Conservancy District,utewater.org,PO Box 460,,Grand Junction,CO,81502,39043,Water Conservancy Districts,Mesa
VDW Metropolitan District No. 1,www.vdwmd.live,550 W Eisenhower Blvd,"C/O Pinnacle Consulting Group, Inc. ",Loveland,CO,80537,65132,Metropolitan Districts,Larimer
VDW Metropolitan District No. 2,www.vdwmd.live,550 W Eisenhower Blvd,"C/O Pinnacle Consulting Group, Inc. ",Loveland,CO,80537,65133,Metropolitan Districts,Larimer
VDW Metropolitan District No. 3,www.vdwmd.live,550 W Eisenhower Blvd,"C/O Pinnacle Consulting Group, Inc. ",Loveland,CO,80537,65134,Metropolitan Districts,Larimer
Vail Housing Authority,,75 South Frontage Road,c/o Town of Vail,Vail,CO,81657,19048,Housing Authorities (Municipal),Eagle
Vail Local Marketing District,,75 South Frontage Road,c/o Town of Vail,Vail,CO,81657,65808,Local Marketing Districts,Eagle
Vail Park & Recreation District,www.vailrec.com,700 S Frontage Road E,,Vail,CO,81657,19032,Park & Recreation Districts,Eagle
Vail Reinvestment Authority,www.ci.vail.co.us,75 South Frontage Road,"c/o Town of Vail, Dept. of Community Development",Vail,CO,81657,65218,Urban Renewal Authorities,Eagle
Vail Square Metropolitan District No. 1,vailsquare123.specialdistrict.org,"28 Second Street, Suite 213",c/o Marchetti & Weaver LLC,Edwards,CO,81632,65508,Metropolitan Districts,Eagle
Vail Square Metropolitan District No. 2,vailsquare123.specialdistrict.org,"28 Second Street, Suite 213",c/o Marchetti & Weaver LLC,Edwards,CO,81632,65509,Metropolitan Districts,Eagle
Vail Square Metropolitan District No. 3,vailsquare123.specialdistrict.org,"28 Second Street, Suite 213",c/o Marchetti & Weaver LLC,Edwards,CO,81632,65510,Metropolitan Districts,Eagle
"Vail, Town of",www.vailgov.com,75 South Frontage Road W,,Vail,CO,81657,19038,Home Rule Municipalities,Eagle
Valagua Metropolitan District,www.valaguametrodistrict.org,"28 Second Street, Suite 213","c/o Marchetti & Weaver, PC",Edwards,CO,81632,65189,Metropolitan Districts,Eagle
Valentia Court Metropolitan District,valentiacourtmd.org,"3900 E. Mexico Ave., #300",c/o  Fritsche Law LLC,Denver,CO,80210,65917,Metropolitan Districts,Arapahoe
Valley Club Pointe Metropolitan District,www.valleyclubpointe.com,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65313,Metropolitan Districts,Arapahoe
Valley Metropolitan Recreation District,,18400 US Highway 350,,Trinidad,CO,81082,36012,Park & Recreation Districts,Las Animas
Valley RE-1 School District,www.re1valleyschools.com,301 Hagen Street,,Sterling,CO,80751,38900,School Districts,Logan
Valley Sanitation District,valleysd.colorado.gov,8739 W Coal Mine Avenue,,Littleton,CO,80160,64148,Sanitation Districts,"Denver, Arapahoe"
Valley View Metropolitan District No. 1,,"44 Cook Street, Suite 620","c/o Cockrel Ela Glesne Greher & Ruhland, P.C.",Denver,CO,80206,67941,Metropolitan Districts,Douglas
Valley View Metropolitan District No. 2,,"44 Cook Street, Suite 620","c/o Cockrel Ela Glesne Greher & Ruhland, P.C.",Denver,CO,80206,67942,Metropolitan Districts,Douglas
Valley View Metropolitan District No. 3,,"44 Cook Street, Suite 620","c/o Cockrel Ela Glesne Greher & Ruhland, P.C.",Denver,CO,80206,67943,Metropolitan Districts,Douglas
Valley Water District,,12101 West 52nd Avenue,,Wheat Ridge,CO,80033-1911,30085,Water Districts,Jefferson
Valley at Winter Park Water District,vwpwaterdistrict.org/,PO Box 794,,Tabernash,CO,80478,25036,Water Districts,Grand
Van Den Berg Metropolitan District,,P.O. Box 341,,Ignacio,CO,81137,65224,Metropolitan Districts,La Plata
Vauxmont Metropolitan District,www.vauxmontmd.com,9371 McIntyre St.,c/o CCMC,Arvada,CO,80007,65265,Metropolitan Districts,Jefferson
Vega Collegiate Academy,vegacollegiateacademy.org,1400 Yosemite Street,,Aurora,CO,80010,68177,Charter Schools,Arapahoe
Velocity Metropolitan District No. 1,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65990,Metropolitan Districts,Adams
Velocity Metropolitan District No. 2,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65991,Metropolitan Districts,Adams
Velocity Metropolitan District No. 3,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65992,Metropolitan Districts,Adams
Velocity Metropolitan District No. 4,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65993,Metropolitan Districts,Adams
Velocity Metropolitan District No. 5,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65994,Metropolitan Districts,Adams
Velocity Metropolitan District No. 6,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65995,Metropolitan Districts,Adams
Velocity Metropolitan District No. 7,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65996,Metropolitan Districts,Adams
Velocity Metropolitan District No. 8,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65997,Metropolitan Districts,Adams
Velocity Metropolitan District No. 9,www.velocitymetrodistrict.com,"4725 S Monaco Street, Ste 360",,Denver,CO,80237,65998,Metropolitan Districts,Adams
Ventana Metropolitan District,ventanametrodistrict.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,65555,Metropolitan Districts,El Paso
Vermilion Creek Metropolitan District,www.vermilioncreekmetropolitandistricts.com,"7555 E. Hampden Ave., Ste. 501",,Denver,CO,80231,65775,Metropolitan Districts,Arapahoe
Vermilion Creek Metropolitan District No. 2,www.vermilioncreekmetropolitandistricts.com,c/o Public Alliance LLC,"7555 E. Hampden Ave., Ste. 501",Denver,CO,80231,68118,Metropolitan Districts,Arapahoe
Vermilion Creek Metropolitan District No. 3,www.vermilioncreekmetropolitandistricts.com,c/o Public Alliance LLC,"7555 E. Hampden Ave., Ste. 501",Denver,CO,80231,68119,Metropolitan Districts,Arapahoe
Verve Metropolitan District No. 1,vervemetropolitandistrict1.specialdistrict.net/,"450 East 17th Avenue, Suite 400",c/o McGeady  Becher P.C.,Denver,CO,80203-1254,66482,Metropolitan Districts,"Broomfield, Jefferson"
Verve Metropolitan District No. 2,,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,66483,Metropolitan Districts,Jefferson
Verve Metropolitan District No. 3,,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,66484,Metropolitan Districts,Jefferson
Verve Metropolitan District No. 4,,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,66485,Metropolitan Districts,Jefferson
"Victor, City of",cityofvictor.com/,PO Box 86,,Victor,CO,80860,60012,Statutory Cities,Teller
Vilas Cemetery District,,1301 Main St,,Springfield,CO,81073,05017,Cemetery Districts,Baca
Vilas Metropolitan Recreation District,,PO Box 601,,Vilas,CO,81087,05018,Park & Recreation Districts,Baca
Vilas RE-5 School District,www.vilasre5.us/,PO Box 727,,Vilas,CO,81087,05903,School Districts,Baca
"Vilas, Town of",,PO Box 637,,Vilas,CO,81087,05019,Statutory Towns,Baca
Villa Bella Expeditionary School,www.villabellaschool.org,2390 Rawlings Boulevard,,Pueblo,CO,81001,67893,Charter Schools,Pueblo
Villa Bella Metropolitan District No. 1,www.villabellamds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67471,Metropolitan Districts,Pueblo
Villa Bella Metropolitan District No. 2,www.villabellamds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67472,Metropolitan Districts,Pueblo
Villa Bella Metropolitan District No. 3,www.villabellamds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67473,Metropolitan Districts,Pueblo
Village Center Metropolitan District,wsdistricts.co/village-center-metropolitan-district/,614 N. Tejon St,c/o WSDM District Managers,Colorado Springs,CO,80903,65324,Metropolitan Districts,El Paso
Village Center Outer Ring Subdistrict,,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67108,Subdistrict of Special District,Arapahoe
Village East Community Metropolitan District,www.villageeastcmd.org/,"2619 Canton Court, Suite A","c/o Centennial Consulting Group, LLC",Fort Collins,CO,80525,66684,Metropolitan Districts,Weld
Village East Metropolitan District No. 1,vemd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,66123,Metropolitan Districts,Weld
Village East Metropolitan District No. 2,vemd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,66124,Metropolitan Districts,Weld
Village East Metropolitan District No. 3,villageeastmetro3.com/,"2154 E. Commons Ave., Suite 2000",c/o WBAPC,Centennial,CO,80122,66125,Metropolitan Districts,Weld
Village East Metropolitan District No. 4,vemd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,67671,Metropolitan Districts,Weld
Village East Metropolitan District No. 5,vemd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,67672,Metropolitan Districts,Weld
Village Metropolitan District,traercreekandthevillage.org,"2001 16th Street, Ste. 1700","c/o CliftonLarsonAllen, LLP",Denver,CO,80202,19061,Metropolitan Districts,Eagle
Village at Dry Creek Metropolitan District No. 1,thevillageatdrycreekmd.com,"7400 E Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,66411,Metropolitan Districts,Adams
Village at Dry Creek Metropolitan District No. 2,thevillageatdrycreekmd.com,"7400 E Orchard Road, Suite 3300",c/o Seter & Vander Wall,Greenwood Village,CO,80111,66412,Metropolitan Districts,Adams
Village at Dry Creek Metropolitan District No. 3,thevillageatdrycreekmd.com,"7400 E Orchard Road, Suite 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,66413,Metropolitan Districts,Adams
Village at Dry Creek Metropolitan District No. 4,thevillageatdrycreekmd.com,"7400 E Orchard Road, Suite 3300",c/o Seter & Vander Wall,Greenwood Village,CO,80111,66414,Metropolitan Districts,Adams
Village at North Creek Metropolitan District,villageatnorthcreekmd.com,"7995 E. Prentice Ave., Suite 100",c/o Community Resource Services,Greenwood Village,CO,80111,67239,Metropolitan Districts,Adams
Village at SouthGate Metropolitan District,villageatsouthgatemd.colorado.gov,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228,66579,Metropolitan Districts,Adams
Village at Winter Park Resort Metropolitan District No. 1,villageatwinterparkresortmd.com,"2154 E. Common Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron P.C.,Centennial,CO,80122,65568,Metropolitan Districts,Grand
Village at Winter Park Resort Metropolitan District No. 2,villageatwinterparkresortmd.com,"2154 E. Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65569,Metropolitan Districts,Grand
Village at Winter Park Resort Metropolitan District No. 3,villageatwinterparkresortmd.com,"2154 E. Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,65570,Metropolitan Districts,Grand
Village on the Green Metropolitan District No. 1,vgmd.specialdistrict.org/,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203-4554,66420,Metropolitan Districts,Douglas
Villages At Castle Rock Metropolitan District No. 6,villagesatcastlerockmd6.colorado.gov,"141 Union Boulevard, Suite 150","c/o Special District Management Services, Inc.",Lakewood,CO,80228-1898,18050,Metropolitan Districts,Douglas
Villages At Castle Rock Metropolitan District No. 9,www.villagesatcastlerockmd9.com,"8480 E Orchard Road, Suite 3650","c/o Erb Law, LLC",Greenwood Village,CO,80111,18079,Metropolitan Districts,Douglas
Villas Metropolitan District,www.villasmetrodistrict.org/,"2154 East Commons Avenue, Suite 2000",,Centennial,CO,80122,66721,Metropolitan Districts,Douglas
Villas at Eastlake Reservoir Metropolitan District,eastlakereservoirvillasmd.colorado.gov/,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,66137,Metropolitan Districts,Adams
Vincent Village Metropolitan District,vincentvillagemetrodistrict.com/,"390 Union Boulevard, Suite 400","c/o Collins Cockrel & Cole, P.C.",Denver,CO,80228-1556,67349,Metropolitan Districts,Weld
Vineyard Metropolitan District,vineyardmetropolitan.specialdistrict.org/,"450 E 17th Avenue, Ste 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1214,66339,Metropolitan Districts,El Paso
Vintage Reserve Metropolitan District,vintagemetro.specialdistrict.org,"1660 Lincoln Street, Suite 3000",,Denver,CO,80264,65231,Metropolitan Districts,Jefferson
"Vision Home & Community, Inc.",visioncharteracademy.org,"263 Main Street, Unit 1",,Delta,CO,81416-1848,67871,Charter Schools,Delta
Vista Charter School,vistacharter.org/vista-school-board/,1810 St. Mary's Drive,,Montrose,CO,81401-3138,67907,Charter Schools,Montrose
Vista Commons Metropolitan District No. 1,vistacommonsmd.specialdistrict.org,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67311,Metropolitan Districts,Weld
Vista Commons Metropolitan District No. 2,vistacommonsmd.specialdistrict.org,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67312,Metropolitan Districts,Weld
Vista Commons Metropolitan District No. 3,vistacommonsmd.specialdistrict.org,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67313,Metropolitan Districts,Weld
Vista Commons Metropolitan District No. 4,vistacommonsmd.specialdistrict.org,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67314,Metropolitan Districts,Weld
Vista Meadows Metropolitan District,www.vistameadowsmd.org/,"1151 Eagle Drive, Suite 366","c/o Law Office of Michael E. Davis, LLC",Loveland,CO,80537,67725,Metropolitan Districts,Weld
Vista Ridge Metropolitan District,vistaridgemd.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,62123,Metropolitan Districts,Weld
Vista West Metropolitan District,www.vistawestmd.specialdistrict.org/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67597,Metropolitan Districts,Weld
Vistas at Saddleback Metropolitan District No. 1,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67951,Metropolitan Districts,Weld
Vistas at Saddleback Metropolitan District No. 2,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67952,Metropolitan Districts,Weld
Vistas at Saddleback Metropolitan District No. 3,,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67953,Metropolitan Districts,Weld
Vistas at West Mesa Metropolitan District,wsdistricts.co/projects/vistas-at-west-mesa-metropolitan-district/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67560,Metropolitan Districts,El Paso
Vona Cemetery District,,P.O.  Box 44,,Vona,CO,80861,32021,Cemetery Districts,Kit Carson
Vona Fire Protection District,,PO Box 72,,Vona,CO,80861,32022,Fire Protection Districts,Kit Carson
"Vona, Town of",,PO Box 147,,Vona,CO,80861,32023,Statutory Towns,Kit Carson
W-Y Ground Water Management District,,PO Box 121,14 West Second Avenue,Yuma,CO,80759,64149,Ground Water Management Districts,"Washington, Yuma"
W/J Metropolitan District,www.wjmetro.org/,"28 Second Street, Suite 213",,Edwards,CO,81632,65328,Metropolitan Districts,Pitkin
Wagons West Metropolitan District,wagonswestmetro.specialdistrict.org/,"4725 South Monaco Street, Suite 360","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,67049,Metropolitan Districts,El Paso
Wake Park and Recreation District,www.wakeparkrec.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67930,Park & Recreation Districts,Weld
Walden Metropolitan District No. 1,,"660 Southpointe Court, Suite 210","c/o Susemihl, McDermott & Cowan, P.C.",Colorado Springs,CO,80906,66536,Metropolitan Districts,El Paso
Walden Metropolitan District No. 2,,"660 Southpointe Court, Suite 210","c/o Susemihl, McDermott & Cowan, P.C.",Colorado Springs,CO,80906,66537,Metropolitan Districts,El Paso
"Walden, Town of",www.colorado.gov/townofwalden,PO Box 489,,Walden,CO,80480,29006,Statutory Towns,Jackson
Walnut Hills General Improvement District,,13133 E. Arapahoe Road,c/o City of Centennial,Englewood,CO,80112-3963,03125,Public Improvement Districts (County),Arapahoe
Walnut Peacemaker Metropolitan District No. 1,walnutpeacemakermd.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67041,Metropolitan Districts,Arapahoe
Walnut Peacemaker Metropolitan District No. 2,walnutpeacemakermd.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67042,Metropolitan Districts,Arapahoe
Walnut Peacemaker Metropolitan District No. 3,walnutpeacemakermd.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67043,Metropolitan Districts,Arapahoe
Walnut Peacemaker Metropolitan District No. 4,walnutpeacemakermd.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67044,Metropolitan Districts,Arapahoe
Walnut Peacemaker Metropolitan District No. 5,walnutpeacemakermd.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67045,Metropolitan Districts,Arapahoe
Walsenburg General Improvement District,,P O Box 557,"c/o Walsenburg Downtown Revitalization Committee, Inc.",Walsenburg,CO,81089,28018,General Improvement Districts (Municipal),Huerfano
Walsenburg Housing Authority,,PO Box 312,220 Russell Avenue,Walsenburg,CO,81089,28014,Housing Authorities (Municipal),Huerfano
Walsenburg Urban Renewal Authority,,525 South Albert Street,c/o City of Walsenburg,Walsenburg,CO,81089,66631,Urban Renewal Authorities,Huerfano
"Walsenburg, City of",cityofwalsenburg.colorado.gov,525 South Albert Street,,Walsenburg,CO,81089,28010,Statutory Cities,Huerfano
Walsh Cemetery District,,PO Box 127,,Walsh,CO,81090,05020,Cemetery Districts,Baca
Walsh Hospital District,www.walshhealthcarecenter.com/,PO Box 206,150 N. Nevada,Walsh,CO,81090,05021,Health Service Districts (Hospital),Baca
Walsh Housing Authority,,105 West Maplewood,,Walsh,CO,81090,05024,Housing Authorities (Municipal),Baca
Walsh Metropolitan Recreation District,,PO Box 614,500 E. Oak,Walsh,CO,81090,05022,Park & Recreation Districts,Baca
Walsh RE-1 School District,www.walsheagles.com/,PO Box 68,,Walsh,CO,81090,05900,School Districts,Baca
"Walsh, Town of",townofwalsh.colorado.gov,401 N Colorado St,,Walsh,CO,81090,05023,Statutory Towns,Baca
Ward TOD Metropolitan District No. 1,www.wardmetrodistrict.org,"2154 E. Commons Ave., Suite 2000",,Centennial,CO,80122,66356,Metropolitan Districts,Jefferson
Ward TOD Metropolitan District No. 2,,"2154 E. Commons Ave., Suite 2000",,Centennial,CO,80122,66357,Metropolitan Districts,Jefferson
Ward TOD Metropolitan District No. 3,,"2154 E. Commons Ave., Suite 2000",,Centennial,CO,80122,66358,Metropolitan Districts,Jefferson
"Ward, Town of",www.ward-co.org,PO Box 99,,Ward,CO,80481-0099,07042,Home Rule Municipalities,Boulder
Washington 25 Metropolitan District No. 1,washington25md.specialdistrict.org/,"450 East 17th Avenue, Ste 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,66925,Metropolitan Districts,Adams
Washington 25 Metropolitan District No. 2,washington25md.specialdistrict.org/,"450 East 17th Avenue, Ste 400",c/o McGeady Becher Cortese Wiliams P.C.,Denver,CO,80203-1254,66926,Metropolitan Districts,Adams
